Date,Mkt-RF,SMB,HML,RMW,CMA,RF
2011-10-01,10.97   ,-3.37   ,-1.23    ,1.27   ,-3.00    ,0.00
2011-11-01,-4.84   ,-2.52   ,-3.36    ,2.73   ,-0.42    ,0.00
2011-12-01,-2.20   ,-0.98   ,-1.07    ,0.38    ,0.27    ,0.00
2012-01-01,5.68    ,2.67    ,1.06   ,-2.08   ,-2.10    ,0.00
2012-02-01,6.41    ,1.38   ,-0.36   ,-0.79   ,-0.76    ,0.00
2012-03-01,0.02    ,0.76   ,-1.41    ,1.00    ,1.64    ,0.00
2012-04-01,-2.23    ,1.25   ,-4.19    ,3.01   ,-0.67    ,0.00
2012-05-01,-12.32    ,0.31   ,-2.57    ,2.64    ,1.39    ,0.01
2012-06-01,7.13   ,-4.35    ,3.13   ,-0.45    ,2.02    ,0.00
2012-07-01,0.56   ,-1.34   ,-2.58    ,2.46   ,-2.16    ,0.00
2012-08-01,4.50    ,0.06    ,3.19   ,-1.86    ,1.48    ,0.01
2012-09-01,3.49    ,1.65    ,2.16   ,-1.52    ,0.82    ,0.01
2012-10-01,1.66   ,-0.56    ,1.78   ,-1.13   ,-0.33    ,0.01
2012-11-01,2.27   ,-2.44   ,-0.58    ,0.56   ,-0.93    ,0.01
2012-12-01,3.38    ,2.50    ,3.03   ,-0.73    ,0.83    ,0.01
2013-01-01,6.20    ,0.63    ,4.33   ,-3.48    ,1.77    ,0.00
2013-02-01,-2.49    ,1.97   ,-3.35    ,2.00   ,-1.35    ,0.00
2013-03-01,-0.54   ,-0.82   ,-4.30    ,2.24   ,-0.28    ,0.00
2013-04-01,4.16   ,-1.38    ,3.67   ,-1.06    ,1.21    ,0.00
2013-05-01,1.05    ,1.22    ,2.82   ,-1.05   ,-0.13    ,0.00
2013-06-01,-4.64    ,2.14   ,-2.56    ,2.22    ,0.45    ,0.00
2013-07-01,7.45   ,-1.45    ,2.80   ,-0.62    ,0.29    ,0.00
2013-08-01,-0.70    ,2.64    ,0.51   ,-0.01    ,0.92    ,0.00
2013-09-01,7.05    ,0.14    ,1.38   ,-0.92    ,1.56    ,0.00
2013-10-01,4.49    ,0.02    ,4.39   ,-1.74    ,1.76    ,0.00
2013-11-01,1.33    ,0.80   ,-0.42    ,0.68    ,0.63    ,0.00
2013-12-01,2.37    ,0.56   ,-0.20    ,0.38    ,0.28    ,0.00
2014-01-01,-3.03    ,3.64    ,2.58   ,-1.22    ,2.05    ,0.00
2014-02-01,7.42    ,0.54    ,0.37    ,0.69    ,0.95    ,0.00
2014-03-01,-0.54    ,0.65    ,1.72    ,1.06    ,0.12    ,0.00
2014-04-01,1.77   ,-2.05    ,0.29    ,0.45   ,-1.14    ,0.00
2014-05-01,0.77   ,-0.60   ,-0.41    ,0.67   ,-0.39    ,0.00
2014-06-01,-0.12    ,0.21   ,-1.76    ,2.07   ,-0.96    ,0.00
2014-07-01,-4.10   ,-0.61    ,0.40   ,-1.63    ,0.40    ,0.00
2014-08-01,-0.02   ,-0.93   ,-1.01    ,0.23   ,-0.77    ,0.00
2014-09-01,-3.79   ,-2.17   ,-0.44   ,-0.44    ,0.38    ,0.00
2014-10-01,-2.70   ,-1.14   ,-3.09    ,2.33   ,-0.53    ,0.00
2014-11-01,2.12   ,-1.35   ,-1.82    ,0.67    ,0.24    ,0.00
2014-12-01,-3.70    ,2.31   ,-2.35    ,1.57   ,-1.93    ,0.00
2015-01-01,-0.31   ,-1.54   ,-3.52    ,2.84   ,-1.07    ,0.00
2015-02-01,6.21    ,0.87    ,1.96   ,-1.97   ,-0.13    ,0.00
2015-03-01,-2.28   ,-0.32   ,-0.35    ,0.01    ,0.79    ,0.00
2015-04-01,4.79    ,2.07    ,0.33    ,0.02   ,-0.41    ,0.00
2015-05-01,-0.15    ,1.51   ,-2.47    ,0.06   ,-0.66    ,0.00
2015-06-01,-2.84    ,1.95    ,0.15   ,-0.15   ,-0.22    ,0.00
2015-07-01,2.39   ,-0.93   ,-2.65    ,0.94   ,-0.75    ,0.00
2015-08-01,-6.02    ,3.63   ,-1.00    ,0.79   ,-0.90    ,0.00
2015-09-01,-4.27    ,1.17   ,-3.63    ,2.70   ,-0.98    ,0.00
2015-10-01,6.19   ,-2.94   ,-0.77    ,1.98   ,-0.06    ,0.00
2015-11-01,-1.49    ,0.31   ,-2.80    ,3.03   ,-2.12    ,0.00
2015-12-01,-1.86    ,3.74   ,-1.25    ,0.67   ,-1.65    ,0.01
2016-01-01,-6.43   ,-0.62   ,-1.49    ,2.47    ,2.28    ,0.01
2016-02-01,-1.71    ,1.47    ,0.37    ,0.65    ,0.88    ,0.02
2016-03-01,6.70    ,1.79    ,1.19    ,0.74   ,-1.12    ,0.02
2016-04-01,2.38   ,-0.56    ,3.35   ,-1.88    ,0.90    ,0.01
2016-05-01,-0.38    ,1.41   ,-2.87    ,1.76   ,-0.48    ,0.01
2016-06-01,-5.01   ,-2.24   ,-1.64    ,3.25    ,2.82    ,0.02
2016-07-01,4.44    ,1.51    ,0.21    ,0.07   ,-0.86    ,0.02
2016-08-01,0.78    ,1.70    ,1.93   ,-1.92   ,-0.01    ,0.02
2016-09-01,0.95    ,0.97   ,-0.15    ,0.32    ,0.03    ,0.02
2016-10-01,-3.08   ,-0.50    ,6.36   ,-3.85    ,2.96    ,0.02
2016-11-01,-2.50    ,1.00    ,1.92   ,-1.54    ,1.87    ,0.01
2016-12-01,4.72   ,-0.82    ,1.99   ,-0.90    ,1.05    ,0.03
2017-01-01,2.84    ,2.12    ,0.47   ,-0.24    ,0.18    ,0.04
2017-02-01,0.68    ,0.03   ,-2.60    ,2.73   ,-1.32    ,0.04
2017-03-01,4.27   ,-1.28    ,0.50    ,0.12   ,-0.28    ,0.03
